"Design","Ontwerp"
"Shopname","Winkelnaam"
"Show Stars","Toon Sterren"
"Show Link","Link Toevoegen"
"Url","Url"
"on","op"
"Shop ID","Winkel ID"
"Rating %s out of %s, based on %s customer reviews","Klanten geven ons %s van %s op basis van %s reviews"
"%s recommandation, based on %s customer reviews","Aanbevolen door %s, Totaal aantal beoordelingen %s"
"Use: {{block type=""kiyohsnippets/snippets" name=""kiyohsnippets""}} to call the block on the homepage","Gebruik: {{block type=""kiyohsnippets/snippets"" name=""kiyohsnippets""}} om het Rich Snippets blok op de homepage te plaatsen"
"Data Type","Beoordeling"
"Score","Score"
"Recommended","Aanbevelingen"
"Text Suffix","Text toevoegen"
